Dataset,N,Features,Event rate,Num Events,Bins,Domain,Regime,Type,Cite,Authors
SS_OVARIAN,26,7,0.46153846153846156,1,10,Oncology (ovarian),small,SR,\cite{edmonson1979different},Edmonson et al. (1979)
SS_MELANOMA,205,7,0.2780487804878049,1,10,Oncology (melanoma),small,SR,\cite{drzewiecki1980biopsy},Drzewiecki et al. (1980)
SS_E1684,284,5,0.6901408450704225,1,30,Oncology (melanoma),small,SR,\cite{kirkwood1996interferon},Kirkwood et al. (1996)
SS_PBC,312,11,0.40064102564102566,1,20,Hepatology,small,SR,\cite{fleming1991counting},Fleming \& Harrington (1991)
SS_HEPATOCELLULAR,101,56,0.44554455445544555,1,10,Oncology (liver),small,SR,\cite{llovet1999prognosis},Llovet et al. (1999)
SS_NWTCO,4028,14,0.14175769612711023,1,50,Paediatric oncology,medium,SR,\cite{dangelo1989treatment},D'Angio et al. (1989)
SS_RETINOPATHY,394,16,0.3934010152284264,1,20,Ophthalmology,small,SR,\cite{huster1989modelling},Huster et al. (1989)
SS_HEART,69,6,0.6521739130434783,1,10,Cardiology,small,SR,\cite{crowley1977covariance},Crowley \& Hu (1977)
SS_VETERAN,137,11,0.9343065693430657,1,20,Oncology (lung),small,SR,\cite{kalbfleisch1980statistical},Kalbfleisch \& Prentice (1980)
SS_WHAS500,461,26,0.38177874186550975,1,20,Cardiology,small,SR,\cite{hosmer2008applied},Hosmer et al. (2008)
SS_MGUS,46,14,0.9782608695652174,1,10,Haematology,small,SR,\cite{kyle2002longterm},Kyle et al. (2002)
SS_CGD,128,30,0.34375,1,10,Immunology,small,SR,\cite{fleming1991counting},Fleming \& Harrington (1991)
SS_COST,518,23,0.7799227799227799,1,50,Oncology (colorectal),medium,SR,\cite{goldberg2004randomized},Goldberg et al. (2004)
SS_LEUKSURV,1043,31,0.8427612655800575,1,30,Haematology,medium,SR,\cite{henderson2002modeling},Henderson et al. (2002)
SS_DIALYSIS,6805,74,0.2355620867009552,1,10,Nephrology,large,SR,\cite{wolfe1999comparison},Wolfe et al. (1999)
SS_ACTG,1151,24,0.08340573414422242,1,10,Infectious disease,medium,SR,\cite{hammer1997controlled},Hammer et al. (1997)
SS_RHC,634,104,0.4242902208201893,1,30,Critical care,medium,SR,\cite{connors1996effectiveness},Connors et al. (1996)
SS_VLBW,257,56,0.14007782101167315,1,10,Neonatology,small,SR,\cite{oshea1992prenatal},O'Shea et al. (1992)
SS_GRACE,1000,7,0.324,1,10,Cardiology,medium,SR,\cite{fox2006prediction},Fox et al. (2006)
SS_TRACE,1878,10,0.5101171458998935,1,100,Cardiology,medium,SR,\cite{kober1995clinical},K{\o}ber et al. (1995)
SS_SUPPORT2,530,76,0.5283018867924528,1,30,Critical care,medium,SR,\cite{knaus1995support},Knaus et al. (1995)
SS_DLBCL,240,7399,0.575,1,20,Oncology (lymphoma),small,SR,\cite{rosenwald2002use},Rosenwald et al. (2002)
SS_DIABETES,394,7,0.3934010152284264,1,30,Endocrinology,small,SR,\cite{collett2015modelling},Collett (2015)
SS_FLCHAIN,6521,36,0.3004140469253182,1,100,Haematology,large,SR,\cite{dispenzieri2012use},Dispenzieri et al. (2012)
SS_FRAMINGHAM,4658,19,0.3145126663804208,1,100,Cardiology,medium,SR,\cite{dawber1951epidemiological},Dawber et al. (1951)
FRAMINGHAM,4273,18,0.41727123800608473,2,100,Cardiology,medium (CR),CR,\cite{dawber1951epidemiological},Dawber et al. (1951)
PBC2,1945,16,0.44832904884318764,2,50,Hepatology,medium (CR),CR,\cite{murtaugh1994primary},Murtaugh et al. (1994)
SUPPORT_CR,9105,37,0.6810543657331136,2,30,Critical care,large (CR),CR,\cite{knaus1995support},Knaus et al. (1995)
SYNTHETIC_CR,30000,12,0.5,2,10,Synthetic,large (CR),CR,,Synthetic
